date,games_played,avg_mov,blowouts,season
2001-10-31,12,9.583333333333334,1,2002
2001-11-01,5,8.8,1,2002
2001-11-02,8,6.25,0,2002
2001-11-03,10,12.9,1,2002
2001-11-04,15,9.933333333333334,2,2002
2001-11-05,1,22,1,2002
2001-11-06,2,13.5,1,2002
2001-11-07,9,11.88888888888889,0,2002
2001-11-08,7,14.714285714285714,1,2002
2001-11-09,8,18,2,2002
2001-11-10,8,12.5,2,2002
2001-11-11,11,13,2,2002
2001-11-12,1,11,0,2002
2001-11-13,3,7.666666666666667,0,2002
2001-11-14,8,5,0,2002
2001-11-15,7,12.428571428571429,1,2002
2001-11-16,5,14.2,1,2002
2001-11-17,10,14.9,3,2002
2001-11-18,13,10.76923076923077,1,2002
2001-11-20,3,14.333333333333334,1,2002
2001-11-21,7,8.857142857142858,1,2002
2001-11-22,11,10.909090909090908,2,2002
2001-11-23,3,5,0,2002
2001-11-24,12,10.416666666666666,0,2002
2001-11-25,13,8.076923076923077,0,2002
2001-11-27,4,5.25,0,2002
2001-11-28,8,12.75,1,2002
2001-11-29,9,12.333333333333334,2,2002
2001-11-30,4,9.25,0,2002
2001-12-01,11,9,1,2002
2001-12-02,13,14.384615384615385,3,2002
2001-12-04,4,18,1,2002
2001-12-05,8,13.75,2,2002
2001-12-06,7,12,1,2002
2001-12-07,4,10,1,2002
2001-12-08,10,12.4,1,2002
2001-12-09,14,9.785714285714286,2,2002
2001-12-11,2,8.5,0,2002
2001-12-12,11,8.272727272727273,1,2002
2001-12-13,6,12.833333333333334,2,2002
2001-12-14,5,8.2,1,2002
2001-12-15,8,14.625,2,2002
2001-12-16,15,10.533333333333333,3,2002
2001-12-17,1,18,0,2002
2001-12-18,2,10,0,2002
2001-12-19,9,11.11111111111111,1,2002
2001-12-20,9,12.222222222222221,1,2002
2001-12-21,4,6.25,0,2002
2001-12-22,10,9.7,1,2002
2001-12-23,15,13,4,2002
2001-12-25,2,7,0,2002
2001-12-27,13,9.538461538461538,1,2002
2001-12-28,6,12,1,2002
2001-12-29,9,7.666666666666667,0,2002
2001-12-30,12,13.666666666666666,3,2002
2001-12-31,3,4.333333333333333,0,2002
2002-01-01,3,13,1,2002
2002-01-03,10,13.6,1,2002
2002-01-04,3,7,0,2002
2002-01-05,10,11.7,2,2002
2002-01-06,14,8.714285714285714,1,2002
2002-01-07,1,8,0,2002
2002-01-08,7,16.285714285714285,2,2002
2002-01-09,9,10.11111111111111,1,2002
2002-01-10,6,12.333333333333334,1,2002
2002-01-11,6,10.5,1,2002
2002-01-12,9,9.88888888888889,0,2002
2002-01-13,12,11.75,3,2002
2002-01-14,1,32,1,2002
2002-01-15,5,16.4,2,2002
2002-01-16,9,6.666666666666667,0,2002
2002-01-17,8,14.375,2,2002
2002-01-18,5,5,0,2002
2002-01-19,10,8.7,1,2002
2002-01-20,11,10.181818181818182,2,2002
2002-01-21,8,12.75,1,2002
2002-01-22,4,9.5,0,2002
2002-01-23,8,9.875,0,2002
2002-01-24,8,11.875,2,2002
2002-01-25,7,11.428571428571429,1,2002
2002-01-26,8,11.375,1,2002
2002-01-27,10,9.8,2,2002
2002-01-29,2,8,0,2002
2002-01-30,11,12.272727272727273,2,2002
2002-01-31,5,10.6,0,2002
2002-02-01,7,7.285714285714286,1,2002
2002-02-02,13,7.615384615384615,1,2002
2002-02-03,9,10.666666666666666,1,2002
2002-02-04,2,3,0,2002
2002-02-05,4,19.5,2,2002
2002-02-06,10,6,1,2002
2002-02-07,6,10,0,2002
2002-02-08,6,6.666666666666667,0,2002
2002-02-10,1,15,0,2002
2002-02-13,11,11.636363636363637,1,2002
2002-02-14,8,14.125,1,2002
2002-02-15,5,9,0,2002
2002-02-16,10,7.4,1,2002
2002-02-17,13,11.461538461538462,2,2002
2002-02-18,2,8,0,2002
2002-02-19,6,13.833333333333334,2,2002
2002-02-20,6,10.666666666666666,1,2002
2002-02-21,8,10.625,1,2002
2002-02-22,8,11.375,1,2002
2002-02-23,9,9.88888888888889,1,2002
2002-02-24,11,11.090909090909092,1,2002
2002-02-25,3,10.666666666666666,0,2002
2002-02-26,4,7,0,2002
2002-02-27,7,14.571428571428571,2,2002
2002-02-28,9,10.88888888888889,0,2002
2002-03-01,4,18,1,2002
2002-03-02,10,9.1,0,2002
2002-03-03,14,10.357142857142858,1,2002
2002-03-04,2,8,0,2002
2002-03-05,4,13.75,0,2002
2002-03-06,11,10.818181818181818,2,2002
2002-03-07,6,8.166666666666666,1,2002
2002-03-08,6,8.166666666666666,0,2002
2002-03-09,11,9.181818181818182,1,2002
2002-03-10,13,11.384615384615385,3,2002
2002-03-11,1,6,0,2002
2002-03-12,7,10,1,2002
2002-03-13,8,15.375,2,2002
2002-03-14,7,6.142857142857143,1,2002
2002-03-15,5,14.8,1,2002
2002-03-16,8,11.125,1,2002
2002-03-17,15,9.666666666666666,1,2002
2002-03-18,1,5,0,2002
2002-03-19,5,5.8,0,2002
2002-03-20,10,13.5,2,2002
2002-03-21,6,17,2,2002
2002-03-22,7,16.857142857142858,3,2002
2002-03-23,8,15.625,2,2002
2002-03-24,15,9.666666666666666,1,2002
2002-03-26,6,5.833333333333333,0,2002
