month,season,total_playoff_non,wins_non,win_pct
1,2002,115,30,0.2608695652173913
1,2003,108,32,0.2962962962962963
1,2004,104,27,0.25961538461538464
1,2005,123,33,0.2682926829268293
1,2006,121,39,0.32231404958677684
1,2007,105,33,0.3142857142857143
1,2008,110,27,0.24545454545454545
1,2009,110,31,0.2818181818181818
1,2010,112,35,0.3125
1,2011,119,32,0.2689075630252101
1,2012,143,32,0.22377622377622378
1,2013,115,35,0.30434782608695654
1,2014,103,24,0.23300970873786409
1,2015,119,37,0.31092436974789917
1,2016,134,37,0.27611940298507465
1,2017,122,39,0.319672131147541
1,2018,108,29,0.26851851851851855
1,2019,120,26,0.21666666666666667
1,2021,106,34,0.32075471698113206
1,2022,106,29,0.27358490566037735
1,2023,101,29,0.2871287128712871
1,2024,100,27,0.27
1,2025,100,30,0.3
1,2026,107,25,0.2336448598130841
2,2002,89,28,0.3146067415730337
2,2003,95,26,0.2736842105263158
2,2004,97,27,0.27835051546391754
2,2005,86,20,0.23255813953488372
2,2006,93,26,0.27956989247311825
2,2007,93,31,0.3333333333333333
2,2008,92,19,0.20652173913043478
2,2009,91,24,0.26373626373626374
2,2010,92,22,0.2391304347826087
2,2011,101,24,0.2376237623762376
2,2012,98,30,0.30612244897959184
2,2013,93,25,0.26881720430107525
2,2014,92,19,0.20652173913043478
2,2015,81,26,0.32098765432098764
2,2016,86,20,0.23255813953488372
2,2017,83,22,0.26506024096385544
2,2018,80,17,0.2125
2,2019,80,19,0.2375
2,2021,89,26,0.29213483146067415
2,2022,77,16,0.2077922077922078
2,2023,71,20,0.28169014084507044
2,2024,91,13,0.14285714285714285
2,2025,79,18,0.22784810126582278
2,2026,71,13,0.18309859154929578
3,2002,117,28,0.23931623931623933
3,2003,104,30,0.28846153846153844
3,2004,113,34,0.3008849557522124
3,2005,131,30,0.22900763358778625
3,2006,121,32,0.2644628099173554
3,2007,120,33,0.275
3,2008,121,24,0.19834710743801653
3,2009,119,24,0.20168067226890757
3,2010,133,19,0.14285714285714285
3,2011,107,24,0.22429906542056074
3,2012,133,37,0.2781954887218045
3,2013,129,32,0.24806201550387597
3,2014,117,27,0.23076923076923078
3,2015,125,40,0.32
3,2016,116,27,0.23275862068965517
3,2017,117,38,0.3247863247863248
3,2018,112,20,0.17857142857142858
3,2019,118,31,0.2627118644067797
3,2021,92,22,0.2391304347826087
3,2022,99,22,0.2222222222222222
3,2023,99,22,0.2222222222222222
3,2024,104,22,0.21153846153846154
3,2025,85,23,0.27058823529411763
3,2026,121,15,0.12396694214876033
4,2002,79,21,0.26582278481012656
4,2003,67,19,0.2835820895522388
4,2004,67,20,0.29850746268656714
4,2005,86,16,0.18604651162790697
4,2006,88,27,0.3068181818181818
4,2007,77,19,0.24675324675324675
4,2008,72,20,0.2777777777777778
4,2009,64,19,0.296875
4,2010,57,13,0.22807017543859648
4,2011,60,21,0.35
4,2012,110,22,0.2
4,2013,74,20,0.2702702702702703
4,2014,80,21,0.2625
4,2015,58,7,0.1206896551724138
4,2016,49,11,0.22448979591836735
4,2017,57,17,0.2982456140350877
4,2018,50,17,0.34
4,2019,46,9,0.1956521739130435
4,2021,108,25,0.23148148148148148
4,2022,41,8,0.1951219512195122
4,2023,37,8,0.21621621621621623
4,2024,55,13,0.23636363636363636
4,2025,23,1,0.043478260869565216
4,2026,41,3,0.07317073170731707
5,2021,74,15,0.20270270270270271
10,2017,29,5,0.1724137931034483
10,2018,45,16,0.35555555555555557
10,2019,49,12,0.24489795918367346
10,2022,47,17,0.3617021276595745
10,2023,45,19,0.4222222222222222
10,2024,25,4,0.16
10,2025,36,12,0.3333333333333333
10,2026,33,10,0.30303030303030304
11,2002,99,27,0.2727272727272727
11,2003,122,29,0.23770491803278687
11,2004,105,34,0.3238095238095238
11,2005,91,35,0.38461538461538464
11,2006,104,29,0.27884615384615385
11,2007,114,39,0.34210526315789475
11,2008,119,33,0.2773109243697479
11,2009,124,28,0.22580645161290322
11,2010,117,26,0.2222222222222222
11,2011,112,33,0.29464285714285715
11,2013,100,22,0.22
11,2014,120,30,0.25
11,2015,122,25,0.20491803278688525
11,2016,127,35,0.27559055118110237
11,2017,119,36,0.3025210084033613
11,2018,118,31,0.2627118644067797
11,2019,118,41,0.3474576271186441
11,2022,99,31,0.31313131313131315
11,2023,106,34,0.32075471698113206
11,2024,98,25,0.25510204081632654
11,2025,113,29,0.25663716814159293
11,2026,108,17,0.1574074074074074
12,2002,112,40,0.35714285714285715
12,2003,112,35,0.3125
12,2004,122,42,0.3442622950819672
12,2005,123,37,0.3008130081300813
12,2006,109,36,0.3302752293577982
12,2007,131,38,0.2900763358778626
12,2008,118,34,0.288135593220339
12,2009,120,22,0.18333333333333332
12,2010,106,33,0.3113207547169811
12,2011,124,29,0.23387096774193547
12,2012,26,8,0.3076923076923077
12,2013,123,28,0.22764227642276422
12,2014,116,38,0.3275862068965517
12,2015,117,24,0.20512820512820512
12,2016,115,32,0.2782608695652174
12,2017,115,32,0.2782608695652174
12,2018,127,41,0.3228346456692913
12,2019,111,36,0.32432432432432434
12,2021,31,13,0.41935483870967744
12,2022,99,27,0.2727272727272727
12,2023,109,42,0.3853211009174312
12,2024,97,20,0.20618556701030927
12,2025,87,17,0.19540229885057472
12,2026,85,30,0.35294117647058826
