game_date,total_min_outliers
2020-12-22,0
2020-12-23,1
2020-12-25,0
2020-12-26,0
2020-12-27,0
2020-12-28,1
2020-12-29,0
2020-12-30,0
2020-12-31,0
2021-01-01,0
2021-01-02,0
2021-01-03,0
2021-01-04,1
2021-01-05,0
2021-01-06,0
2021-01-07,0
2021-01-08,1
2021-01-09,1
2021-01-10,0
2021-01-11,2
2021-01-12,0
2021-01-13,1
2021-01-14,1
2021-01-15,0
2021-01-16,1
2021-01-17,0
2021-01-18,1
2021-01-19,0
2021-01-20,0
2021-01-21,0
2021-01-22,0
2021-01-23,0
2021-01-24,1
2021-01-25,0
2021-01-26,1
2021-01-27,0
2021-01-28,0
2021-01-29,1
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,1
2021-02-04,1
2021-02-05,1
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,0
2021-02-10,0
2021-02-11,0
2021-02-12,0
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,0
2021-02-17,0
2021-02-18,0
2021-02-19,0
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,0
2021-02-24,0
2021-02-25,0
2021-02-26,0
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,1
2021-03-03,2
2021-03-04,0
2021-03-07,0
2021-03-10,0
2021-03-11,0
2021-03-12,0
2021-03-13,1
2021-03-14,1
2021-03-15,1
2021-03-16,1
2021-03-17,0
2021-03-18,0
2021-03-19,0
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,0
2021-03-24,1
2021-03-25,2
2021-03-26,0
2021-03-27,6
2021-03-28,0
2021-03-29,3
2021-03-30,1
2021-03-31,1
2021-04-01,1
2021-04-02,3
2021-04-03,2
2021-04-04,1
2021-04-05,3
2021-04-06,2
2021-04-07,3
2021-04-08,2
2021-04-09,3
2021-04-10,3
2021-04-11,0
2021-04-12,0
2021-04-13,1
2021-04-14,0
2021-04-15,1
2021-04-16,3
2021-04-17,1
2021-04-18,3
2021-04-19,2
2021-04-20,2
2021-04-21,4
2021-04-22,1
2021-04-23,4
2021-04-24,5
2021-04-25,3
2021-04-26,2
2021-04-27,4
2021-04-28,6
2021-04-29,3
2021-04-30,3
2021-05-01,7
2021-05-02,1
2021-05-03,3
2021-05-04,3
2021-05-05,9
2021-05-06,4
2021-05-07,5
2021-05-08,10
2021-05-09,8
2021-05-10,6
2021-05-11,5
2021-05-12,6
2021-05-13,8
2021-05-14,24
2021-05-15,8
2021-05-16,32
2021-10-19,0
2021-10-20,1
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,0
2021-10-27,0
2021-10-28,0
2021-10-29,0
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,0
2021-11-03,0
2021-11-04,0
2021-11-05,0
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,0
2021-11-10,1
2021-11-11,0
2021-11-12,1
2021-11-13,1
2021-11-14,0
2021-11-15,0
2021-11-16,0
2021-11-17,1
2021-11-18,1
2021-11-19,0
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,0
2021-11-24,0
2021-11-26,0
2021-11-27,1
2021-11-28,0
2021-11-29,0
2021-11-30,0
2021-12-01,0
2021-12-02,1
2021-12-03,1
2021-12-04,0
2021-12-05,0
2021-12-06,1
