team_display_name,season,total_min_outliers
Atlanta Hawks,2021,7
Atlanta Hawks,2022,6
Atlanta Hawks,2023,1
Atlanta Hawks,2024,39
Atlanta Hawks,2025,9
Atlanta Hawks,2026,1
Boston Celtics,2021,16
Boston Celtics,2022,1
Boston Celtics,2023,1
Boston Celtics,2024,4
Boston Celtics,2025,4
Boston Celtics,2026,24
Brooklyn Nets,2021,9
Brooklyn Nets,2022,13
Brooklyn Nets,2023,4
Brooklyn Nets,2024,9
Brooklyn Nets,2025,20
Brooklyn Nets,2026,38
Charlotte Hornets,2021,1
Charlotte Hornets,2022,7
Charlotte Hornets,2023,10
Charlotte Hornets,2024,58
Charlotte Hornets,2025,16
Charlotte Hornets,2026,2
Chicago Bulls,2021,0
Chicago Bulls,2022,1
Chicago Bulls,2023,2
Chicago Bulls,2024,15
Chicago Bulls,2025,5
Chicago Bulls,2026,24
Cleveland Cavaliers,2021,12
Cleveland Cavaliers,2022,10
Cleveland Cavaliers,2023,6
Cleveland Cavaliers,2024,3
Cleveland Cavaliers,2025,3
Cleveland Cavaliers,2026,13
Dallas Mavericks,2021,2
Dallas Mavericks,2022,3
Dallas Mavericks,2023,7
Dallas Mavericks,2024,7
Dallas Mavericks,2025,11
Dallas Mavericks,2026,7
Denver Nuggets,2021,7
Denver Nuggets,2022,3
Denver Nuggets,2023,3
Denver Nuggets,2024,2
Denver Nuggets,2025,21
Denver Nuggets,2026,5
Detroit Pistons,2021,7
Detroit Pistons,2022,17
Detroit Pistons,2023,15
Detroit Pistons,2024,19
Detroit Pistons,2025,5
Detroit Pistons,2026,2
Eastern Conf All-Stars,2024,0
Golden State Warriors,2021,0
Golden State Warriors,2022,0
Golden State Warriors,2023,1
Golden State Warriors,2024,2
Golden State Warriors,2025,0
Golden State Warriors,2026,13
Houston Rockets,2021,26
Houston Rockets,2022,7
Houston Rockets,2023,0
Houston Rockets,2024,4
Houston Rockets,2025,12
Houston Rockets,2026,4
Indiana Pacers,2021,23
Indiana Pacers,2022,0
Indiana Pacers,2023,6
Indiana Pacers,2024,5
Indiana Pacers,2025,5
Indiana Pacers,2026,9
LA Clippers,2021,7
LA Clippers,2022,1
LA Clippers,2023,1
LA Clippers,2024,17
LA Clippers,2025,4
LA Clippers,2026,0
Los Angeles Lakers,2021,1
Los Angeles Lakers,2022,7
Los Angeles Lakers,2023,4
Los Angeles Lakers,2024,0
Los Angeles Lakers,2025,14
Los Angeles Lakers,2026,7
Memphis Grizzlies,2021,9
Memphis Grizzlies,2022,4
Memphis Grizzlies,2023,6
Memphis Grizzlies,2024,55
Memphis Grizzlies,2025,1
Memphis Grizzlies,2026,69
Miami Heat,2021,3
Miami Heat,2022,3
Miami Heat,2023,7
Miami Heat,2024,5
Miami Heat,2025,4
Miami Heat,2026,3
Milwaukee Bucks,2021,7
Milwaukee Bucks,2022,4
Milwaukee Bucks,2023,14
Milwaukee Bucks,2024,0
Milwaukee Bucks,2025,3
Milwaukee Bucks,2026,13
Minnesota Timberwolves,2021,0
Minnesota Timberwolves,2022,5
Minnesota Timberwolves,2023,4
Minnesota Timberwolves,2024,2
Minnesota Timberwolves,2025,9
Minnesota Timberwolves,2026,8
New Orleans Pelicans,2021,4
New Orleans Pelicans,2022,0
New Orleans Pelicans,2023,2
New Orleans Pelicans,2024,0
New Orleans Pelicans,2025,13
New Orleans Pelicans,2026,26
New York Knicks,2021,0
New York Knicks,2022,17
New York Knicks,2023,0
New York Knicks,2024,1
New York Knicks,2025,4
New York Knicks,2026,5
Oklahoma City Thunder,2021,23
Oklahoma City Thunder,2022,58
Oklahoma City Thunder,2023,2
Oklahoma City Thunder,2024,3
Oklahoma City Thunder,2025,4
Oklahoma City Thunder,2026,4
Orlando Magic,2021,14
Orlando Magic,2022,21
Orlando Magic,2023,5
Orlando Magic,2024,0
Orlando Magic,2025,10
Orlando Magic,2026,8
Philadelphia 76ers,2021,4
Philadelphia 76ers,2022,1
Philadelphia 76ers,2023,3
Philadelphia 76ers,2024,8
Philadelphia 76ers,2025,24
Philadelphia 76ers,2026,10
Phoenix Suns,2021,1
Phoenix Suns,2022,3
Phoenix Suns,2023,0
Phoenix Suns,2024,6
Phoenix Suns,2025,16
Phoenix Suns,2026,17
Portland Trail Blazers,2021,3
Portland Trail Blazers,2022,36
Portland Trail Blazers,2023,25
Portland Trail Blazers,2024,45
Portland Trail Blazers,2025,12
Portland Trail Blazers,2026,29
Sacramento Kings,2021,30
Sacramento Kings,2022,3
Sacramento Kings,2023,6
Sacramento Kings,2024,1
Sacramento Kings,2025,3
Sacramento Kings,2026,64
San Antonio Spurs,2021,7
San Antonio Spurs,2022,2
San Antonio Spurs,2023,24
San Antonio Spurs,2024,18
San Antonio Spurs,2025,8
San Antonio Spurs,2026,1
Team Candace,2025,0
Team Chuck,2025,0
Team Durant,2021,0
Team Durant,2022,0
Team Giannis,2023,0
Team Kenny,2025,0
Team LeBron,2021,0
Team LeBron,2022,0
Team LeBron,2023,0
Team Shaq,2025,0
Team Stars,2026,0
Team Stripes,2026,0
Toronto Raptors,2021,10
Toronto Raptors,2022,2
Toronto Raptors,2023,4
Toronto Raptors,2024,20
Toronto Raptors,2025,43
Toronto Raptors,2026,1
Utah Jazz,2021,7
Utah Jazz,2022,15
Utah Jazz,2023,37
Utah Jazz,2024,41
Utah Jazz,2025,2
Utah Jazz,2026,55
Washington Wizards,2021,8
Washington Wizards,2022,6
Washington Wizards,2023,20
Washington Wizards,2024,45
Washington Wizards,2025,46
Washington Wizards,2026,70
Western Conf All-Stars,2024,0
World,2026,0
